利用日	利用店名・商品名	利用者	支払方法	利用金額	支払手数料	支払総額	2月支払金額	3月繰越残高	新規サイン	決済日	備考
2024/12/15	ｼﾞｪｲｱｰﾙﾋｶﾞｼﾆﾎ ﾝｸﾛｽｽ	本人	1回払い	1000	0	1000	1000	0	*	202501	
2024/12/15	ローソン	本人	1回払い	1160	0	1160	1160	0	*	202501	
2024/12/15	ﾔｷﾆｸ ﾋﾞﾋﾞ	本人	1回払い	18000	0	18000	18000	0	*	202501	
2024/12/15	ｽﾐﾄﾓｾｲﾒｲﾎｹﾝ(ﾎｹﾝﾘ	本人	1回払い	5670	0	5670	5670	0	*	202501	
2024/12/15	ｽﾐﾄﾓｾｲﾒｲﾎｹﾝ(VITA	本人	1回払い	440	0	440	440	0	*	202501	
2024/12/13	ローソン	本人	1回払い	1772	0	1772	1772	0	*	202501	
2024/12/13	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	1299	0	1299	1299	0	*	202501	
2024/12/12	GOOGLE *YOUTUBEPREMI利用国GBR	本人	1回払い	1280	0	1280	1280	0	*	202501	現地利用額　　　　　　１２８０．０００変換レート　　　１．０００円
2024/12/12	ローソン	本人	1回払い	1646	0	1646	1646	0	*	202501	
2024/12/12	ローソン	本人	1回払い	183	0	183	183	0	*	202501	
2024/12/11	ローソン	本人	1回払い	1603	0	1603	1603	0	*	202501	
2024/12/11	ローソン	本人	1回払い	183	0	183	183	0	*	202501	
2024/12/11	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	193	0	193	193	0	*	202501	
2024/12/11	AMAZON.CO.JP	本人	1回払い	1209	0	1209	1209	0	*	202501	
2024/12/11	AMAZON.CO.JP	本人	1回払い	605	0	605	605	0	*	202501	
2024/12/11	AMAZON.CO.JP	本人	1回払い	1209	0	1209	1209	0	*	202501	
2024/12/11	AMAZON.CO.JP	本人	1回払い	935	0	935	935	0	*	202501	
2024/12/9	ｳｰﾊﾞｰｲｰﾂ	本人	1回払い	1507	0	1507	1507	0	*	202501	
2024/12/9	ローソン	本人	1回払い	1160	0	1160	1160	0	*	202501	
2024/12/7	ローソン	本人	1回払い	1533	0	1533	1533	0	*	202501	
2024/12/7	ﾁﾔﾑﾅﾑｹ	本人	1回払い	4422	0	4422	4422	0	*	202501	
2024/12/7	ｶﾝｺｸﾋﾛﾊﾞｼﾞﾔﾝﾄｳ	本人	1回払い	4936	0	4936	4936	0	*	202501	
2024/12/6	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202501	
2024/12/6	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	1160	0	1160	1160	0	*	202501	
2024/12/5	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	1330	0	1330	1330	0	*	202501	
2024/12/5	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	627	0	627	627	0	*	202501	
2024/12/5	ＮＵＲＯ光　ご利用料金	本人	1回払い	2540	0	2540	2540	0	*	202501	
2024/12/3	ファミリーマート	本人	1回払い	1160	0	1160	1160	0	*	202501	
2024/12/3	ｽ-ﾊﾟ-ﾍﾞﾙｸｽﾊﾅﾊﾀﾁﾕ	本人	1回払い	7168	0	7168	7168	0	*	202501	
2024/12/3	ﾀｲﾑｽﾞｶ-	本人	1回払い	220	0	220	220	0	*	202501	
2024/12/2	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	1822	0	1822	1822	0	*	202501	
2024/12/2	ファミリーマート	本人	1回払い	1341	0	1341	1341	0	*	202501	
2024/12/2	ローソン	本人	1回払い	894	0	894	894	0	*	202501	
2024/12/1	ｳｰﾊﾞｰｲｰﾂ	本人	1回払い	216	0	216	216	0	*	202501	
2024/12/1	ｳｰﾊﾞｰｲｰﾂ	本人	1回払い	1545	0	1545	1545	0	*	202501	
2024/11/30	ＩＩＪ　サービス料金	本人	1回払い	1917	0	1917	1917	0	*	202501	
2025/1/30	ローソン	本人	1回払い	481	0	481	481	0	*	202502	
2025/1/30	ﾆｭｰﾃﾞｲｽﾞｷｵｽｸｼ ﾝｼﾞｭｸ	本人	1回払い	158	0	158	158	0	*	202502	
2025/1/30	ファミリーマート	本人	1回払い	400	0	400	400	0	*	202502	
2025/1/29	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	193	0	193	193	0	*	202502	
2025/1/28	CO., LTD. PARIS CROI利用国KOR	本人	1回払い	1093	0	1093	1093	0	*	202502	現地利用額　　　　　　９８００．０００変換レート　　　０．１１２円
2025/1/28	LOTTEGIMPOGONGHANG M利用国KOR	本人	1回払い	12343	0	12343	12343	0	*	202502	現地利用額　　　　　１２３４３．０００変換レート　　　１．０００円
2025/1/28	24/12-25/01ｽｲﾄﾞｳ	本人	1回払い	5579	0	5579	5579	0	*	202502	
2025/1/24	羽田空港旅客ターミナル	本人	1回払い	1065	0	1065	1065	0	*	202502	
2025/1/24	羽田空港旅客ターミナル	本人	1回払い	10410	0	10410	10410	0	*	202502	
2025/1/24	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	473	0	473	473	0	*	202502	
2025/1/23	ローソン	本人	1回払い	1160	0	1160	1160	0	*	202502	
2025/1/23	ファミリーマート	本人	1回払い	319	0	319	319	0	*	202502	
2025/1/23	ｺｺｲﾁﾊﾞﾝﾔ ｹｲｵｳﾁｮｳ	本人	1回払い	1516	0	1516	1516	0	*	202502	
2025/1/23	ＣｈａｒｇｅＳＰＯＴ	本人	1回払い	330	0	330	330	0	*	202502	
2025/1/23	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	732	0	732	732	0	*	202502	
2025/1/23	ｱﾏｿﾞﾝﾌﾟﾗｲﾑｶｲﾋ	本人	1回払い	600	0	600	600	0	*	202502	
2025/1/21	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202502	
2025/1/21	ローソン	本人	1回払い	1160	0	1160	1160	0	*	202502	
2025/1/21	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	85	0	85	85	0	*	202502	
2025/1/20	ローソン	本人	1回払い	330	0	330	330	0	*	202502	
2025/1/20	ﾃﾝﾄﾞﾝﾃﾝﾔｷﾀｾﾝｼﾞﾕﾆ	本人	1回払い	1340	0	1340	1340	0	*	202502	
2025/1/19	ヨークフーズ　食品	本人	1回払い	6592	0	6592	6592	0	*	202502	
2025/1/19	ｴｷﾋﾞﾙｺｺﾛﾕｻﾞﾜ	本人	1回払い	9020	0	9020	9020	0	*	202502	
2025/1/19	ﾀｲﾑｽﾞｶ-	本人	1回払い	3520	0	3520	3520	0	*	202502	
2025/1/18	ﾅｴﾊﾞﾌﾟﾘﾝｽﾎﾃﾙ	本人	1回払い	450	0	450	450	0	*	202502	
2025/1/18	ﾆｭｰﾃﾞｲｽﾞｷｵｽｸﾄ ｳｷｮｳｼ	本人	1回払い	135	0	135	135	0	*	202502	
2025/1/17	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202502	
2025/1/17	ローソン	本人	1回払い	3886	0	3886	3886	0	*	202502	
2025/1/17	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	420	0	420	420	0	*	202502	
2025/1/17	ﾄｳｷｮｳ ｶﾞｽ ｶﾞｽﾘﾖｳｷﾝ  25/01 1576-780-1077	本人	1回払い	11502	0	11502	11502	0	*	202502	
2025/1/16	ローソン	本人	1回払い	1330	0	1330	1330	0	*	202502	
2025/1/15	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202502	
2025/1/15	ｽﾐﾄﾓｾｲﾒｲﾎｹﾝ(ﾎｹﾝﾘ	本人	1回払い	5670	0	5670	5670	0	*	202502	
2025/1/15	ｽﾐﾄﾓｾｲﾒｲﾎｹﾝ(VITA	本人	1回払い	440	0	440	440	0	*	202502	
2025/1/15	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	503	0	503	503	0	*	202502	
2025/1/15	AMZ*GELATOPIQUE.	本人	1回払い	17549	0	17549	17549	0	*	202502	
2025/1/15	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	102	0	102	102	0	*	202502	
2025/1/14	丸井	本人	1回払い	3841	0	3841	3841	0	*	202502	
2025/1/14	ファミリーマート	本人	1回払い	1273	0	1273	1273	0	*	202502	
2025/1/12	UBER *ONE HELP.UBER.利用国NLD	本人	1回払い	3998	0	3998	3998	0	*	202502	現地利用額　　　　　　３９９８．０００変換レート　　　１．０００円
2025/1/12	ローソン	本人	1回払い	655	0	655	655	0	*	202502	
2025/1/12	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	1690	0	1690	1690	0	*	202502	
2025/1/12	ﾋﾞｰﾋﾞｰｷｭｰｵﾘｰﾌﾞﾎﾟ	本人	1回払い	5160	0	5160	5160	0	*	202502	
2025/1/12	ﾚｲｸﾀｳﾝｶｾﾞ	本人	1回払い	66000	0	66000	66000	0	*	202502	
2025/1/12	ｲｵﾝﾚｲｸﾀｳﾝｱｳﾄﾚﾂﾄ	本人	1回払い	7700	0	7700	7700	0	*	202502	
2025/1/12	ﾗｲﾌﾎﾟﾝﾃﾎﾟﾙﾀｾﾝｼﾞﾕ	本人	1回払い	3651	0	3651	3651	0	*	202502	
2025/1/12	ﾀｲﾑｽﾞｶ-	本人	1回払い	220	0	220	220	0	*	202502	
2025/1/11	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	1160	0	1160	1160	0	*	202502	
2025/1/11	GOOGLE PLAY JAPA	本人	1回払い	1280	0	1280	1280	0	*	202502	
2025/1/11	楽天ＳＰ　満月	本人	1回払い	16880	0	16880	16880	0	*	202502	
2025/1/10	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202502	
2025/1/10	ローソン	本人	1回払い	1160	0	1160	1160	0	*	202502	
2025/1/10	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	692	0	692	692	0	*	202502	
2025/1/10	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	718	0	718	718	0	*	202502	
2025/1/9	オリオンツアー	本人	1回払い	31600	0	31600	31600	0	*	202502	
2025/1/8	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	666	0	666	666	0	*	202502	
2025/1/8	ﾀｺﾄﾊｲﾎﾞ-ﾙｷﾀｾﾝｼﾞﾕ	本人	1回払い	620	0	620	620	0	*	202502	
2025/1/8	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	452	0	452	452	0	*	202502	
2025/1/8	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	1160	0	1160	1160	0	*	202502	
2025/1/7	ＮＵＲＯ光　ご利用料金	本人	1回払い	2540	0	2540	2540	0	*	202502	
2025/1/6	ローソン	本人	1回払い	1504	0	1504	1504	0	*	202502	
2025/1/6	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202502	
2025/1/5	東武ストア	本人	1回払い	3775	0	3775	3775	0	*	202502	
2025/1/5	ﾛｯｿ ﾍｱｰｱﾝﾄﾞｽﾊﾟ ｷ	本人	1回払い	13000	0	13000	13000	0	*	202502	
2025/1/4	ローソン	本人	1回払い	1698	0	1698	1698	0	*	202502	
2025/1/3	ｳｰﾊﾞｰｲｰﾂ	本人	1回払い	1815	0	1815	1815	0	*	202502	
2025/1/3	ローソン	本人	1回払い	1376	0	1376	1376	0	*	202502	
2025/1/1	ｶﾞｽﾄ	本人	1回払い	3140	0	3140	3140	0	*	202502	
2025/1/1	AMAZON.CO.JP	本人	1回払い	2940	0	2940	2940	0	*	202502	
2025/1/1	ローソン	本人	1回払い	1448	0	1448	1448	0	*	202502	
2025/1/1	ローソン	本人	1回払い	1718	0	1718	1718	0	*	202502	
2024/12/31	ＩＩＪ　サービス料金	本人	1回払い	1873	0	1873	1873	0	*	202502	
2025/2/28	ﾙﾐﾈｷﾀｾﾝｼﾞｭ	本人	1回払い	788	0	788	788	0	*	202503	
2025/2/28	丸井	本人	1回払い	864	0	864	864	0	*	202503	
2025/2/28	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202503	
2025/2/28	ｼﾅﾉﾔ	本人	1回払い	1386	0	1386	1386	0	*	202503	
2025/2/28	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	408	0	408	408	0	*	202503	
2025/2/28	ｽﾐﾄﾓｾｲﾒｲﾎｹﾝｿｳｺﾞｶ	本人	1回払い	7770	0	7770	7770	0	*	202503	
2025/2/28	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	731	0	731	731	0	*	202503	
2025/2/27	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	441	0	441	441	0	*	202503	
2025/2/27	ｽﾐﾄﾓｾｲﾒｲﾎｹﾝｿｳｺﾞｶ	本人	1回払い	10000	0	10000	10000	0	*	202503	
2025/2/25	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	1770	0	1770	1770	0	*	202503	
2025/2/25	ﾚﾝｹﾞｼﾖｸﾄﾞｳﾄｳｼﾕｳﾁ	本人	1回払い	825	0	825	825	0	*	202503	
2025/2/24	ｽ-ﾊﾟ-ﾍﾞﾙｸｽﾊﾅﾊﾀﾁﾕ	本人	1回払い	6951	0	6951	6951	0	*	202503	
2025/2/24	ﾀｲﾑｽﾞｶ-	本人	1回払い	660	0	660	660	0	*	202503	
2025/2/23	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	846	0	846	846	0	*	202503	
2025/2/23	ｱﾏｿﾞﾝﾌﾟﾗｲﾑｶｲﾋ	本人	1回払い	600	0	600	600	0	*	202503	
2025/2/21	ローソン	本人	1回払い	275	0	275	275	0	*	202503	
2025/2/21	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202503	
2025/2/21	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	2950	0	2950	2950	0	*	202503	
2025/2/21	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	731	0	731	731	0	*	202503	
2025/2/19	ｶﾗｵｹｶﾝ ｵｵﾂｶｴｷﾏｴﾃ	本人	1回払い	640	0	640	640	0	*	202503	
2025/2/18	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202503	
2025/2/18	ローソン	本人	1回払い	184	0	184	184	0	*	202503	
2025/2/18	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	2950	0	2950	2950	0	*	202503	
2025/2/16	ｴｲﾁｱｲｴｽﾄﾗﾍﾞﾙｻ-ﾋﾞ	本人	1回払い	103200	0	103200	103200	0	*	202503	
2025/2/16	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	514	0	514	514	0	*	202503	
2025/2/15	ファミリーマート	本人	1回払い	310	0	310	310	0	*	202503	
2025/2/15	ｵ-ｹ- ｱﾀﾞﾁｵﾀﾞｲﾃﾝ	本人	1回払い	19141	0	19141	19141	0	*	202503	
2025/2/15	ｽﾐﾄﾓｾｲﾒｲﾎｹﾝ(ﾎｹﾝﾘ	本人	1回払い	5670	0	5670	5670	0	*	202503	
2025/2/15	ｽﾐﾄﾓｾｲﾒｲﾎｹﾝ(VITA	本人	1回払い	440	0	440	440	0	*	202503	
2025/2/15	ﾀｲﾑｽﾞｶ-	本人	1回払い	660	0	660	660	0	*	202503	
2025/2/14	ローソン	本人	1回払い	353	0	353	353	0	*	202503	
2025/2/14	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	3005	0	3005	3005	0	*	202503	
2025/2/14	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	1001	0	1001	1001	0	*	202503	
2025/2/14	ﾄｳｷｮｳ ｶﾞｽ ｶﾞｽﾘﾖｳｷﾝ  25/02 1576-780-1077	本人	1回払い	10306	0	10306	10306	0	*	202503	
2025/2/12	GOOGLE *YOUTUBEPREMI利用国GBR	本人	1回払い	1280	0	1280	1280	0	*	202503	現地利用額　　　　　　１２８０．０００変換レート　　　１．０００円
2025/2/12	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202503	
2025/2/12	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	913	0	913	913	0	*	202503	
2025/2/11	ﾘﾌﾞﾚｹｲｾｲﾐﾅﾐｾﾝｼﾞﾕ	本人	1回払い	6765	0	6765	6765	0	*	202503	
2025/2/8	ファミリーマート	本人	1回払い	1180	0	1180	1180	0	*	202503	
2025/2/8	ﾙﾐﾈｷﾀｾﾝｼﾞｭ	本人	1回払い	1159	0	1159	1159	0	*	202503	
2025/2/7	ローソン	本人	1回払い	410	0	410	410	0	*	202503	
2025/2/7	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202503	
2025/2/7	ﾚﾝｹﾞｼﾖｸﾄﾞｳﾄｳｼﾕｳﾁ	本人	1回払い	1012	0	1012	1012	0	*	202503	
2025/2/6	ﾋﾞｰﾋﾞｰｷｭｰｵﾘｰﾌﾞﾎﾟ	本人	1回払い	1140	0	1140	1140	0	*	202503	
2025/2/6	ﾗｲﾌﾎﾟﾝﾃﾎﾟﾙﾀｾﾝｼﾞﾕ	本人	1回払い	14578	0	14578	14578	0	*	202503	
2025/2/6	ＮＵＲＯ光　ご利用料金	本人	1回払い	2540	0	2540	2540	0	*	202503	
2025/2/5	ローソン	本人	1回払い	794	0	794	794	0	*	202503	
2025/2/5	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202503	
2025/2/5	ﾚﾝｹﾞｼﾖｸﾄﾞｳﾄｳｼﾕｳﾁ	本人	1回払い	1012	0	1012	1012	0	*	202503	
2025/2/3	ファミリーマート	本人	1回払い	150	0	150	150	0	*	202503	
2025/2/3	ファミリーマート	本人	1回払い	400	0	400	400	0	*	202503	
2025/2/3	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	5665	0	5665	5665	0	*	202503	
2025/2/3	ｻﾝﾄﾞﾗﾂｸﾞ	本人	1回払い	1188	0	1188	1188	0	*	202503	
2025/2/2	ｳｰﾊﾞｰｲｰﾂ	本人	1回払い	1739	0	1739	1739	0	*	202503	
2025/2/1	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	139	0	139	139	0	*	202503	
2025/2/1	ローソン	本人	1回払い	220	0	220	220	0	*	202503	
2025/2/1	ﾆｭｰﾃﾞｲｽﾞｷｵｽｸﾄ ｳｷｮｳｼ	本人	1回払い	314	0	314	314	0	*	202503	
2025/2/1	ｴｷﾋﾞﾙｺｺﾛﾕｻﾞﾜ	本人	1回払い	1980	0	1980	1980	0	*	202503	
2025/1/31	ＩＩＪ　サービス料金	本人	1回払い	1961	0	1961	1961	0	*	202503	
2025/1/22	ユーネクストサービス利用料	本人	1回払い	2189	0	2189	2189	0	*	202503	
2025/3/31	ローソン	本人	1回払い	259	0	259	259	0	*	202504	
2025/3/31	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	2950	0	2950	2950	0	*	202504	
2025/3/31	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	267	0	267	267	0	*	202504	
2025/3/31	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	461	0	461	461	0	*	202504	
2025/3/30	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	751	0	751	751	0	*	202504	
2025/3/28	ﾃｹﾃｹ ﾁﾖｳﾌｷﾀｸﾞﾁｴｷ	本人	1回払い	9071	0	9071	9071	0	*	202504	
2025/3/28	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	2950	0	2950	2950	0	*	202504	
2025/3/28	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	752	0	752	752	0	*	202504	
2025/3/27	25/02-25/03ｽｲﾄﾞｳ	本人	1回払い	5055	0	5055	5055	0	*	202504	
2025/3/24	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	2950	0	2950	2950	0	*	202504	
2025/3/24	ｷﾀｾﾝｼﾞﾕ ﾏﾙｲ/NFC	本人	1回払い	2376	0	2376	2376	0	*	202504	
2025/3/24	ｷﾀｾﾝｼﾞﾕ ﾏﾙｲ/NFC	本人	1回払い	2207	0	2207	2207	0	*	202504	
2025/3/24	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	5733	0	5733	5733	0	*	202504	
2025/3/24	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	105	0	105	105	0	*	202504	
2025/3/24	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	623	0	623	623	0	*	202504	
2025/3/23	ファミリーマート	本人	1回払い	160	0	160	160	0	*	202504	
2025/3/23	ﾙﾐﾈｷﾀｾﾝｼﾞｭ	本人	1回払い	383	0	383	383	0	*	202504	
2025/3/23	ﾙﾐﾈｷﾀｾﾝｼﾞｭ	本人	1回払い	793	0	793	793	0	*	202504	
2025/3/23	ﾙﾐﾈｷﾀｾﾝｼﾞｭ	本人	1回払い	1224	0	1224	1224	0	*	202504	
2025/3/23	ｱﾏｿﾞﾝﾌﾟﾗｲﾑｶｲﾋ	本人	1回払い	600	0	600	600	0	*	202504	
2025/3/22	ﾏﾂﾔ ｷﾀｾﾝｼﾞﾕﾋｶﾞｼｸ	本人	1回払い	1060	0	1060	1060	0	*	202504	
2025/3/22	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	862	0	862	862	0	*	202504	
2025/3/21	ｼﾁﾘﾝﾔｷﾆｸｱﾝｱﾝ ﾁﾖｳ	本人	1回払い	13500	0	13500	13500	0	*	202504	
2025/3/21	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	267	0	267	267	0	*	202504	
2025/3/21	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	549	0	549	549	0	*	202504	
2025/3/20	ｶｲｾﾝﾌﾞﾂﾌｴﾀﾞｲﾆﾝｸﾞ	本人	1回払い	24000	0	24000	24000	0	*	202504	
2025/3/19	ﾚｲﾘ-	本人	1回払い	5000	0	5000	5000	0	*	202504	
2025/3/19	ﾏﾂﾔ ｷﾀｾﾝｼﾞﾕ	本人	1回払い	1050	0	1050	1050	0	*	202504	
2025/3/18	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	2950	0	2950	2950	0	*	202504	
2025/3/18	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	267	0	267	267	0	*	202504	
2025/3/18	ﾏﾙｴﾂﾁﾖｳﾌﾃﾝ	本人	1回払い	484	0	484	484	0	*	202504	
2025/3/17	申告所得税及復興特別所得税	本人	1回払い	39196	0	39196	39196	0	*	202504	
2025/3/16	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	1541	0	1541	1541	0	*	202504	
2025/3/16	AMAZON.CO.JP	本人	1回払い	1049	0	1049	1049	0	*	202504	
2025/3/16	AMAZON.CO.JP	本人	1回払い	2315	0	2315	2315	0	*	202504	
2025/3/16	AMAZON.CO.JP	本人	1回払い	1049	0	1049	1049	0	*	202504	
2025/3/15	AMAZON.CO.JP	本人	1回払い	2124	0	2124	2124	0	*	202504	
2025/3/15	ﾏﾐｰﾏｰﾄｱﾀﾞﾁｼﾏﾈﾃﾝ	本人	1回払い	9731	0	9731	9731	0	*	202504	
2025/3/15	ｽﾐﾄﾓｾｲﾒｲﾎｹﾝ(ﾎｹﾝﾘ	本人	1回払い	5670	0	5670	5670	0	*	202504	
2025/3/15	ｽﾐﾄﾓｾｲﾒｲﾎｹﾝ(VITA	本人	1回払い	440	0	440	440	0	*	202504	
2025/3/15	ﾀｲﾑｽﾞｶ-	本人	1回払い	1100	0	1100	1100	0	*	202504	
2025/3/14	ローソン	本人	1回払い	1848	0	1848	1848	0	*	202504	
2025/3/14	ﾏﾂﾔ ｷﾀｾﾝｼﾞﾕ	本人	1回払い	630	0	630	630	0	*	202504	
